"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1000242,6.8,9.25,8,NA,NA,NA,8.25,7.25,8.25,"Cantonese"
1000478,6.6,8,7,NA,NA,NA,NA,NA,NA,"Cantonese"
1000544,8.4,9,7.4,NA,NA,NA,9,8.25,8.25,"Cantonese"
1000644,5.4,8.5,8,NA,NA,NA,5.5,6.5,7.25,"Cantonese"
1000646,9,9,8.4,NA,NA,NA,8,8.5,8.75,"Cantonese"
1001168,3.8,7.25,7.2,NA,NA,NA,7.75,7.75,8,"Cantonese"
1001194,7.6,8,6.8,NA,NA,NA,7.5,7,8,"Cantonese"
1001404,7.4,8.5,6.6,NA,NA,NA,6.5,6.75,9.5,"Cantonese"
1001745,8,9.25,8.2,NA,NA,NA,8.25,8.25,8.75,"Cantonese"
1001751,7.6,8.5,5,NA,NA,NA,6.75,7,8.5,"Cantonese"
1001858,7.2,8.75,9.6,NA,NA,NA,7.25,7.75,8.5,"Cantonese"
1001862,8.4,9.25,8,NA,NA,NA,8.25,7.5,8.5,"Cantonese"
1001926,7.6,9,6.6,NA,NA,NA,8.75,8.25,8.75,"Cantonese"
1001930,5.8,8.75,6.8,NA,NA,NA,8.5,8,8.75,"Cantonese"
1002272,7.4,8,8.8,6.5,7.5,7,NA,NA,NA,"Cantonese"
1002418,7.6,8,6.6,NA,NA,NA,4.25,6,7.25,"Cantonese"
1002423,7.6,9.5,8,NA,NA,NA,5,6.25,6.75,"Cantonese"
1002484,7.6,8.5,7.6,NA,NA,NA,6.75,8.25,7.75,"Cantonese"
1002552,7.4,9.25,6.4,NA,NA,NA,6.25,7.75,7.5,"Cantonese"
1002676,6.4,8.25,3.8,NA,NA,NA,6.75,8.25,8,"Cantonese"
1002721,7,9,6.8,NA,NA,NA,8.5,8.5,8.75,"Cantonese"
1002761,7,9.25,7.8,NA,NA,NA,7.5,6.75,8,"Cantonese"
1003000,7,9,6.6,NA,NA,NA,8,5.75,8.5,"Cantonese"
1003171,8.2,8.75,7,NA,NA,NA,6.25,6.75,9.25,"Cantonese"
1003483,8,9.75,9,NA,NA,NA,7.75,9,9.5,"Cantonese"
1003690,6,8.75,6.6,NA,NA,NA,7.75,7.25,NA,"Cantonese"
1004189,7.4,8.75,8.6,NA,NA,NA,7.25,6.75,8.25,"Cantonese"
