"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1000052,6.6,8.5,7.4,NA,NA,NA,NA,6.75,NA,"French"
1002782,6.4,9,6.8,NA,NA,NA,7,8.75,8.75,"French"
1002827,6.2,8.25,6.2,NA,NA,NA,8.25,8.25,9,"French"
1002897,8.2,8.5,6,NA,NA,NA,9.25,7.5,8.5,"French"
1003010,5.6,8.5,7,NA,NA,NA,6.5,6.75,8.5,"French"
1003159,5.8,8,6.2,NA,NA,NA,5.75,7,7.5,"French"
1003411,8,8.75,7.8,8.5,4.5,5.75,NA,NA,NA,"French"
1003453,5.4,6.25,4.4,3.5,4,5,NA,NA,NA,"French"
1003524,6,7.5,7.6,NA,NA,NA,6,7,7.5,"French"
1003574,7.8,7.5,4.8,NA,NA,NA,6.5,6.25,7.25,"French"
1003576,6.6,7.5,4.8,NA,NA,NA,6.25,7.25,8,"French"
1003826,5.2,8.25,8.8,NA,NA,NA,NA,NA,NA,"French"
1003882,7.4,7.75,6.2,NA,NA,NA,8.25,8.25,9,"French"
1003921,7.4,8.5,8.8,NA,NA,NA,6.5,6.75,8,"French"
1003942,6.8,8.25,8.2,NA,NA,NA,6.5,7.25,9.75,"French"
1004030,4.4,8.5,6.6,NA,NA,NA,7.75,7.5,7.25,"French"
1004059,8,8,7.6,NA,NA,NA,6.25,7,8.25,"French"
1004195,6.6,8.75,7,NA,NA,NA,9,8,7.75,"French"
1004397,6.4,7.5,6.2,NA,NA,NA,6,7,6.75,"French"
1004462,5.8,8.5,3.8,NA,NA,NA,7,8.75,7.75,"French"
1004463,8.4,7,5.4,7.5,6.25,5,NA,NA,NA,"French"
1004485,5.2,8,5.6,NA,NA,NA,4.25,5.75,6.75,"French"
1004705,7.4,8.5,7.4,NA,NA,NA,7,8,8.75,"French"
1004708,7,8,4.6,NA,NA,NA,8.25,8.5,8.25,"French"
1004723,8.4,8.25,8.2,NA,NA,NA,8,7.25,7.75,"French"
1004745,7,7.75,3.2,3,4.5,7.75,NA,NA,NA,"French"
1004749,8.6,9.25,8,NA,NA,NA,6.5,6.25,8,"French"
1004769,8,8.75,9.4,NA,NA,NA,8.75,7.75,9,"French"
1004771,6.4,8,8.4,NA,NA,NA,6.5,7,7.25,"French"
1013728,8.2,5.67,8.2,8.5,3.75,5.25,NA,NA,NA,"French"
1013733,8,8.5,7.6,NA,NA,NA,9.25,9.75,9,"French"
1013754,8.4,7,7.8,NA,NA,NA,8.25,8.25,8.5,"French"
1013772,8.2,7.75,8.2,6.5,7,8.25,NA,NA,NA,"French"
1013788,6.6,8,6.6,NA,NA,NA,7.25,7.25,7.5,"French"
1013790,8,7.25,9.2,NA,NA,NA,7.75,7,9.25,"French"
1013833,8.4,8.5,9.8,NA,NA,NA,8.5,8,8.75,"French"
1013875,7.6,8,8.8,NA,NA,NA,8.25,7.75,8.5,"French"
1013909,7.4,7.25,9.6,4.25,8.25,7,NA,NA,NA,"French"
1013910,8.4,8.5,9.2,8.25,6.75,4.75,NA,NA,NA,"French"
1013918,8,7.5,8.2,4.75,7.5,5,NA,NA,NA,"French"
1013949,7.8,7,8.8,NA,NA,NA,7.25,8.25,7.5,"French"
1013959,7,8.5,7.4,NA,NA,NA,6.5,6.75,7.75,"French"
1014084,8.2,8.75,9,NA,NA,NA,9.5,9.5,9.75,"French"
1014112,5.6,8.5,9,NA,NA,NA,8.5,7.25,9,"French"
1014127,8,8.5,9,NA,NA,NA,7.75,8.5,7.75,"French"
1014139,8,8,9.2,NA,NA,NA,7.75,8.5,8.75,"French"
1014188,8.6,7.75,9.2,NA,NA,NA,7.25,7.75,8,"French"
1014243,7.2,8.5,9.6,NA,NA,NA,8.75,8,8,"French"
1014252,4,7.25,5.8,NA,NA,NA,10,8.5,8.5,"French"
1014487,8,7.25,9.4,NA,NA,NA,8.5,8.25,8.25,"French"
1014502,7.6,7.75,9,NA,NA,NA,7.5,7.75,8.75,"French"
1014535,6.4,7.75,8.8,NA,NA,NA,8,6.25,8.5,"French"
1014542,9,8.5,8.8,5.5,8,5.75,NA,NA,NA,"French"
1014555,6.6,8,8.2,NA,NA,NA,8,7.75,8.25,"French"
1014579,7.6,8.75,9.8,NA,NA,NA,8.75,7.75,7.75,"French"
1014581,7.4,8.5,9,NA,NA,NA,7.25,7.5,7.75,"French"
1014619,8.6,7.75,9,NA,NA,NA,7.25,8,8.5,"French"
1014671,9.2,8,8.6,NA,NA,NA,8,7.25,7,"French"
1014949,8.4,7.75,6.6,8,8.5,5.5,NA,NA,NA,"French"
1014962,7.2,7.75,9.4,NA,NA,NA,8.5,8.75,8.25,"French"
1014963,8,8.25,8.4,NA,NA,NA,8.75,7.75,8,"French"
1014969,6.2,8.25,7.4,NA,NA,NA,7.25,6.5,8,"French"
