"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1000159,7.6,8.5,5.6,NA,NA,NA,7.5,6.5,9.25,"German"
1001950,7.8,9.25,6,NA,NA,NA,4.75,6.5,8.5,"German"
1002877,7.8,8.75,7.6,NA,NA,NA,8.5,8.25,9.25,"German"
1002887,7.8,9,8.8,NA,NA,NA,9.25,8.5,9.25,"German"
1003044,8,9,7.6,NA,NA,NA,7.5,8.25,8.75,"German"
1003055,8,8.75,7.4,NA,NA,NA,7.75,8,7.75,"German"
1003099,8,9,7,NA,NA,NA,6.75,7.25,7.5,"German"
1003170,7.6,8.75,7.2,NA,NA,NA,7.25,7.75,8,"German"
1003180,6.8,8.75,7.4,NA,NA,NA,8.5,7.75,8.5,"German"
1003359,7.8,8.75,6.4,4.75,7.25,7.75,NA,NA,NA,"German"
1003394,8.6,9,7.2,6.5,3.75,5.75,NA,NA,NA,"German"
1003442,7.8,7.5,5.6,4.75,7,3.5,NA,NA,NA,"German"
1003459,8.4,9,5.4,NA,NA,NA,8.25,6.75,6.75,"German"
1003528,8.2,8.5,4.2,7,8.25,6.75,NA,NA,NA,"German"
1003879,8,8.25,7,NA,NA,NA,8.5,7.25,7.75,"German"
1003901,8.2,8.25,7.6,8.5,6.75,6.75,NA,NA,NA,"German"
1003934,7.4,8.5,8.4,NA,NA,NA,9.25,8.5,8.25,"German"
1004178,7.2,9,7.8,NA,NA,NA,8.5,7.25,6.75,"German"
1004180,8,9,8.6,NA,NA,NA,8.5,9,8.75,"German"
1004187,6.8,8.75,5.8,NA,NA,NA,8,8.25,9,"German"
1004190,7.2,8.5,5.4,NA,NA,NA,7.25,7.75,8.25,"German"
1004191,7.8,9,6.8,NA,NA,NA,8.25,8,8.5,"German"
1004196,8.4,9,7.2,NA,NA,NA,8.75,8.25,9.75,"German"
1004197,7.4,8.5,7.2,NA,NA,NA,8.5,8.25,8.75,"German"
1004198,6.6,9,5.6,NA,NA,NA,6.75,6.25,8.5,"German"
1004201,7.8,8.5,6,NA,NA,NA,7.75,7.75,8.25,"German"
1004394,8.2,9.25,9,NA,NA,NA,8.5,8,9.5,"German"
1004395,7.8,8,5.6,7.75,7.5,8.25,NA,NA,NA,"German"
1004404,8.2,8.25,7.4,6.75,8.25,7.5,NA,NA,NA,"German"
1004418,6.4,8.25,8.2,NA,NA,NA,6.75,8.5,8,"German"
1004425,7,8.25,5,NA,NA,NA,7.5,7,9,"German"
1004442,7.4,9,5.8,NA,NA,NA,8,8.5,8.75,"German"
1004443,5.6,9,5,NA,NA,NA,7.25,7.5,8.5,"German"
1004464,6.8,8.75,7,5.25,8.25,6,NA,NA,NA,"German"
1004586,8.4,9.25,5.6,7.5,7.25,5.5,NA,NA,NA,"German"
1004681,8.2,9,7.2,7.5,7.25,6,NA,NA,NA,"German"
1004710,7.8,8.75,6.4,6.5,7.75,6.25,NA,NA,NA,"German"
1004784,7.6,9.25,7.2,NA,NA,NA,6.75,8.5,8.5,"German"
1004811,7,8,5.6,NA,NA,NA,7.25,8.75,8.5,"German"
1005210,8.2,8.75,7,8.5,8.5,NA,NA,NA,NA,"German"
1009146,7.6,9.25,6.2,NA,NA,NA,6,6,8.5,"German"
1009305,9.2,8.75,6.4,NA,NA,NA,NA,NA,NA,"German"
1010157,7.2,8.75,7.4,NA,NA,NA,8.75,7.75,8.5,"German"
1012068,7.2,7.25,4.4,3.25,3,6.25,NA,NA,NA,"German"
1012625,7.2,8,4.4,NA,NA,NA,7.5,6.75,8.25,"German"
1016731,7.6,9,6.2,NA,NA,NA,8.25,5,8,"German"
1016785,8,9.25,8.4,NA,NA,NA,9.5,9.25,9.25,"German"
1016806,9,9.5,7.2,NA,NA,NA,9.25,9.25,9.75,"German"
1019281,7.2,8.75,9,NA,NA,NA,7.75,7.75,9.25,"German"
