"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1000077,8,9.5,8.8,NA,NA,NA,5.5,8.25,7.5,"Japanese"
1000370,8,9.25,6.8,NA,NA,NA,7.25,8,NA,"Japanese"
1000548,7,8.75,7,NA,NA,NA,7,7.5,8,"Japanese"
1000583,8.6,7.75,7.2,NA,NA,NA,6.5,7,8.25,"Japanese"
1000721,8.2,9,7.8,NA,NA,NA,4.5,6.25,8.75,"Japanese"
1000736,7,6.75,3.8,7.75,7.25,7.25,NA,NA,NA,"Japanese"
1001151,8.4,6.75,6.2,6,5.75,5,NA,NA,NA,"Japanese"
1001180,6,7.75,6.2,4,5,6.25,NA,NA,NA,"Japanese"
1001227,7.4,8,4.4,NA,NA,NA,7.75,6.5,7.5,"Japanese"
1001248,8.4,7.75,8.4,NA,NA,NA,8.25,8,8.25,"Japanese"
1001258,7,7.5,4.6,NA,NA,NA,5.5,7.5,8.5,"Japanese"
1001314,7.6,8.75,9.6,NA,NA,NA,7.75,7.25,8.75,"Japanese"
1001602,5.2,9,6.6,NA,NA,NA,7.25,6.5,7,"Japanese"
1001653,8.2,8.5,6.4,NA,NA,NA,3.5,6.25,6.5,"Japanese"
1001706,8.2,8.5,3.2,NA,NA,NA,8.75,8.75,8.75,"Japanese"
1001778,8.6,8.5,6.6,7.75,5.75,6.5,NA,NA,NA,"Japanese"
1001779,7,7.5,3.8,NA,NA,NA,7.5,7.75,8.5,"Japanese"
1001802,8.6,8.25,5.2,8,8,8,NA,NA,NA,"Japanese"
1001826,8.8,8,8.8,NA,NA,NA,7,7.75,7.75,"Japanese"
1001828,5.6,8.25,4.4,NA,NA,NA,6.5,7.5,7.25,"Japanese"
1001855,6.2,8.5,8.8,6,7,7.5,NA,NA,NA,"Japanese"
1001872,8,8.5,7.4,NA,NA,NA,5.5,5.5,7.25,"Japanese"
1002330,5,9,5.6,NA,NA,NA,6.25,5.5,7.5,"Japanese"
1002334,5.8,9,7.2,NA,NA,NA,7.5,7,8.25,"Japanese"
1002337,7,9,4.6,NA,NA,NA,4.25,5.25,6.5,"Japanese"
1002369,7.6,7.25,8.4,8.25,4.5,6.5,NA,NA,NA,"Japanese"
1002413,8.4,8.5,5.8,NA,NA,NA,7.25,6.25,8.5,"Japanese"
1002458,8,9.25,7.6,NA,NA,NA,6.75,7.75,9,"Japanese"
1002477,5,8.5,8.8,NA,NA,NA,6,8,9,"Japanese"
1002512,5.4,9.25,9.4,NA,NA,NA,7.25,8.25,8.75,"Japanese"
1002551,7.6,7.75,1.8,3,4.25,5.5,NA,NA,NA,"Japanese"
1002556,5.4,8,6.8,NA,NA,NA,9,7.75,9,"Japanese"
1002573,8.2,9.25,8,NA,NA,NA,6.75,6.25,8.25,"Japanese"
1002577,7.6,8,7.2,NA,NA,NA,6.75,7.25,7.75,"Japanese"
1002594,9,8.5,9.6,NA,NA,NA,7.75,7,9.25,"Japanese"
1002633,8,8.5,5.8,NA,NA,NA,6.5,6.75,8,"Japanese"
1002641,8.6,8.25,8.6,NA,NA,NA,7.25,7.25,7.75,"Japanese"
1002654,7.8,8.25,3,6,8.5,5.25,NA,NA,NA,"Japanese"
1002671,6,8.25,6.2,NA,NA,NA,6,8.5,8.25,"Japanese"
1002674,7,8,7.4,NA,NA,NA,8,8,8.75,"Japanese"
1002678,7.8,7.75,9,7.75,7,5.75,NA,NA,NA,"Japanese"
1002698,8,8,3.8,NA,NA,NA,5,7.25,7,"Japanese"
1002775,8.4,9.25,8.4,NA,NA,NA,7,7.25,8.5,"Japanese"
1002783,7.8,8.5,8.4,NA,NA,NA,6.25,5.5,7.75,"Japanese"
1002800,7.6,9,9.2,NA,NA,NA,7.5,6.75,8,"Japanese"
1002802,7.6,9.25,9.8,NA,NA,NA,8.5,8.25,8.5,"Japanese"
1002956,7.8,9,6.8,NA,NA,NA,8.75,8.25,9,"Japanese"
1002983,7,8.75,7,NA,NA,NA,5.5,6,7.75,"Japanese"
1002984,7.8,8.75,8.6,NA,NA,NA,6,6.25,8.5,"Japanese"
1003052,8.8,9.5,9.6,NA,NA,NA,6.5,7.25,8.75,"Japanese"
1003061,7.2,8.75,8.2,NA,NA,NA,7.5,8,9,"Japanese"
1003091,7.2,9.25,8.8,NA,NA,NA,9,9,8.75,"Japanese"
