"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1000114,8,8.5,7.4,NA,NA,NA,6.25,7.5,NA,"Korean"
1000140,7.8,9.25,9.2,NA,NA,NA,6.75,7.75,8.5,"Korean"
1000217,8,8.75,9,NA,NA,NA,7.75,8.25,8.5,"Korean"
1001202,7.8,8.25,9.2,NA,NA,NA,8.5,7.25,8.5,"Korean"
1002332,7.8,9,9.6,NA,NA,NA,8,6.75,9,"Korean"
1004192,6.8,8.5,9,NA,NA,NA,4.5,6.25,7.25,"Korean"
1004202,8.8,8,9.6,NA,NA,NA,8,7.5,7.25,"Korean"
1007241,4.8,7.75,6.2,NA,NA,NA,4,6.25,8.25,"Korean"
1007416,7.2,9.25,6.4,NA,NA,NA,7,6.5,7.75,"Korean"
1007955,8,8,7.6,NA,NA,NA,8.25,7.25,8.75,"Korean"
1009323,6.8,8,2.4,NA,NA,NA,8.5,8.75,NA,"Korean"
1009474,7.8,8.75,8.2,NA,NA,NA,6.75,7,7.5,"Korean"
1013475,8,8,8,NA,NA,NA,7.5,7,8.5,"Korean"
1013568,6,8.5,9,NA,NA,NA,6.75,6.75,8.75,"Korean"
1013814,8,8.75,9.4,NA,NA,NA,8.25,9,8.75,"Korean"
1014265,8.2,9,9.2,NA,NA,NA,7.75,6.5,8,"Korean"
1016777,7.4,8.5,6.6,NA,NA,NA,6.5,7.75,7.5,"Korean"
1016862,6.8,8.5,9.4,NA,NA,NA,8,6,9.5,"Korean"
1016869,7.8,8.75,10,NA,NA,NA,9.5,7.5,9.25,"Korean"
1016928,7.6,9,9.4,NA,NA,NA,8.25,7.5,8.5,"Korean"
1018052,7.8,8.75,9.8,NA,NA,NA,7.75,7.75,9.25,"Korean"
1019319,6.2,8.75,4.8,NA,NA,NA,7,6.25,8.5,"Korean"
1019342,6.6,8.75,7.4,NA,NA,NA,7.75,7.75,8.25,"Korean"
1019366,8,8,8.8,7,7,6.75,NA,NA,NA,"Korean"
1021532,8.4,8,9.8,NA,NA,NA,7.5,7.75,9.25,"Korean"
1022484,8,9,6.2,NA,NA,NA,5.75,8.5,8.75,"Korean"
1023156,7.6,9,9,NA,NA,NA,7.25,7.25,8.75,"Korean"
1023174,7.4,9,9.6,NA,NA,NA,8.5,8,8.75,"Korean"
1023691,6.2,8.75,7,NA,NA,NA,7.75,7.5,7.5,"Korean"
1024763,8.2,8.25,8.8,8.75,9.75,7.5,NA,NA,NA,"Korean"
1027282,7.6,9.25,8.4,NA,NA,NA,6.25,6,7.75,"Korean"
1027298,7.8,9.25,8.8,NA,NA,NA,6.75,7.25,8.25,"Korean"
1027838,6.4,8.75,7,NA,NA,NA,8.5,8.25,8.5,"Korean"
1028216,7,9,6.8,NA,NA,NA,6,7,8,"Korean"
1029327,8,8.75,9.6,6.75,6.25,5.75,NA,NA,NA,"Korean"
1032658,6.2,8.25,4.2,NA,NA,NA,6,6.5,7.5,"Korean"
1033985,7.8,8,7.6,NA,NA,NA,7,6.75,6.75,"Korean"
1034625,7.4,7.75,8,NA,NA,NA,6,7,7.75,"Korean"
1034756,7.6,9,8,NA,NA,NA,6.25,7.25,7.75,"Korean"
1035425,6.8,8.5,7.2,NA,NA,NA,6.25,7.25,8,"Korean"
1035454,8.4,9,9,NA,NA,NA,7.5,7.25,8.5,"Korean"
1037963,7.4,8.25,9,NA,NA,NA,7,8,9.25,"Korean"
1040257,8.4,8.75,9.4,7.75,9,7.25,NA,NA,NA,"Korean"
1040485,6,8,3.4,NA,NA,NA,4.5,5.75,6.5,"Korean"
1040676,7.6,8,7.2,NA,NA,NA,7.5,6.25,7.75,"Korean"
1044729,6.8,9,8,NA,NA,NA,6.5,7,8,"Korean"
1047238,7.2,9,7,NA,NA,NA,NA,NA,NA,"Korean"
1047240,5.6,8.5,7.2,NA,NA,NA,NA,NA,NA,"Korean"
1049346,7,8,7.2,NA,NA,NA,6.25,6,7.5,"Korean"
1050430,6,9,2.4,NA,NA,NA,6.75,8.25,9.5,"Korean"
1050432,8.6,9,7.6,5.5,4,7,NA,NA,NA,"Korean"
1050778,4.8,9,4,NA,NA,NA,6,6.25,7.25,"Korean"
1051899,5.4,7.75,4.8,NA,NA,NA,6.75,7.5,8.5,"Korean"
1052869,7,8.75,6.6,NA,NA,NA,7,7,7.75,"Korean"
1053771,5.6,9,6.8,NA,NA,NA,5.75,6.5,8.75,"Korean"
1053778,7.4,7.75,6.4,5.25,5.25,5,NA,NA,NA,"Korean"
1053804,7.4,9.5,5.8,NA,NA,NA,9,9.75,8.75,"Korean"
1055261,7.4,8.5,4.4,NA,NA,NA,7.5,9,8.25,"Korean"
1055346,5.6,8.5,5.2,NA,NA,NA,5.75,7,8.25,"Korean"
1055529,7.6,8.5,7.4,NA,NA,NA,7.5,7.75,9.25,"Korean"
1055530,5.4,8,4.6,NA,NA,NA,4.5,6.25,6.75,"Korean"
1055531,4.8,8.25,3.4,NA,NA,NA,6,6.75,8.5,"Korean"
1055690,5,8.25,5.4,NA,NA,NA,6.75,5.75,7.75,"Korean"
1055702,4.6,8.25,8,NA,NA,NA,8,8.5,9.75,"Korean"
1056145,6.4,8.5,3.2,NA,NA,NA,5,7.5,7,"Korean"
1056229,8.8,8.5,9.4,NA,NA,NA,NA,NA,NA,"Korean"
1056951,6.4,9,7.2,NA,NA,NA,6.75,6.5,8.25,"Korean"
1058070,7.2,8.75,8.2,NA,NA,NA,NA,NA,NA,"Korean"
1058969,6,8.5,4.4,NA,NA,NA,6.75,6,8.5,"Korean"
1058970,6.2,8.25,3.4,NA,NA,NA,8,6.75,8.25,"Korean"
1061255,7.2,9,7.4,NA,NA,NA,7.25,5.75,7,"Korean"
1061994,7.4,9,7.2,NA,NA,NA,4.75,6.75,9,"Korean"
1062182,7.2,8,5.4,NA,NA,NA,7.25,7.5,7.75,"Korean"
1062203,7,8.75,5.4,NA,NA,NA,8.5,8.25,8.5,"Korean"
1062835,8.4,8.5,7.4,NA,NA,NA,9.25,8.75,8.75,"Korean"
1063268,6.4,8.75,5.2,NA,NA,NA,7,7,7.5,"Korean"
1063368,7.2,8.5,8.6,NA,NA,NA,7,7.75,8,"Korean"
1063652,7.6,8.5,8,NA,NA,NA,8,7.75,8.5,"Korean"
1063708,6.6,8.75,6.4,NA,NA,NA,10,9.5,8.25,"Korean"
1063872,8.6,9.5,9.8,NA,NA,NA,8.75,6.75,8.5,"Korean"
1063946,5.6,7.75,5.4,NA,NA,NA,7.25,6.5,9.5,"Korean"
1068015,6.8,8.25,9,NA,NA,NA,3.75,5.75,6.75,"Korean"
1068096,6.6,9,3.6,NA,NA,NA,5.75,6.25,6.75,"Korean"
1068573,6.2,8.75,8.8,NA,NA,NA,6.75,7,7.5,"Korean"
1069172,6.2,8.25,9.4,NA,NA,NA,NA,NA,NA,"Korean"
1069960,7.6,7.75,7.4,NA,NA,NA,5,5.25,7.25,"Korean"
1069977,5,6.25,5.2,NA,NA,NA,5.5,7.25,6.75,"Korean"
1070028,7.8,8.5,9,NA,NA,NA,8,9.5,9.25,"Korean"
1070118,8.4,9,8.6,NA,NA,NA,5.25,5.75,7.25,"Korean"
1070163,7,8.75,7.8,NA,NA,NA,5.25,6.25,7.25,"Korean"
1070679,5,6.5,3.6,NA,NA,NA,4,8,7.25,"Korean"
1071256,6,6.75,7.8,NA,NA,NA,8.5,8,NA,"Korean"
1071404,4.4,7,3.6,NA,NA,NA,4.75,5.75,5.75,"Korean"
1071414,6.6,8,7,NA,NA,NA,5.25,7,7.75,"Korean"
1072123,8.6,9,9.6,NA,NA,NA,7,7.25,8.75,"Korean"
1072242,7.8,8.5,7.6,NA,NA,NA,9.5,8,9,"Korean"
1073153,6.4,8.5,4.6,NA,NA,NA,5.5,7.25,7.75,"Korean"
1073484,7,9,8,NA,NA,NA,8.5,7.75,8.25,"Korean"
1074399,8.8,9.25,9.4,NA,NA,NA,8.25,7.25,7,"Korean"
1074431,6,8.75,6.6,NA,NA,NA,8,8.25,7.75,"Korean"
1074632,8.4,8.25,7.2,NA,NA,NA,6.25,6.5,7.75,"Korean"
1074662,8,8.75,8,NA,NA,NA,5.25,7,8.25,"Korean"
1075593,6.8,6.75,4.2,NA,NA,NA,5.5,7.25,8,"Korean"
1076378,7.4,9.25,8.6,NA,NA,NA,6.75,7.5,8.5,"Korean"
1076401,8,8.5,6,NA,NA,NA,8,7.5,9.5,"Korean"
1076688,6.6,8,6.8,NA,NA,NA,6.5,5,7.5,"Korean"
1076697,7.6,7.75,8.8,NA,NA,NA,8.5,5.75,8.75,"Korean"
1077223,6.4,6.75,6.2,NA,NA,NA,6.75,7,8.5,"Korean"
1077232,6.8,8.75,8,NA,NA,NA,6.5,6.5,8.25,"Korean"
