"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1021622,7.6,7.75,9.2,NA,NA,NA,6.75,7.25,8.25,"Russian"
1044724,7,7.25,8,NA,NA,NA,5.5,4.75,5,"Russian"
3016514,6.4,8.25,9.8,NA,NA,NA,5.5,7.25,7.75,"Russian"
3016735,5.6,8.25,9,NA,NA,NA,6,6.5,8,"Russian"
3016935,7.4,8,8,NA,NA,NA,6,8.25,7.5,"Russian"
3017083,8.4,9,9.8,NA,NA,NA,8.75,8,9,"Russian"
3017244,6.8,9.25,9.6,NA,NA,NA,8,7.25,9.25,"Russian"
3017411,5.2,9,9.8,NA,NA,NA,6.25,6,8,"Russian"
12002413,7.6,9.25,9.8,NA,NA,NA,7.5,7.75,9.75,"Russian"
12002474,8.8,8.25,9.8,9.25,9.25,7.75,NA,NA,NA,"Russian"
12002650,7.6,8.75,8.4,NA,NA,NA,8.5,9.25,9,"Russian"
12002685,7.8,8.5,10,NA,NA,NA,7.75,7,9.25,"Russian"
12002837,8.6,8.5,7.6,NA,NA,NA,7,7,8.75,"Russian"
12002886,6.8,8.75,9,NA,NA,NA,7.75,7.5,7.5,"Russian"
12002972,7.4,8.75,9.4,NA,NA,NA,7,8,9,"Russian"
12003050,8.2,8.25,9,NA,NA,NA,8.75,7.5,7.75,"Russian"
12003144,8.8,8.75,8,NA,NA,NA,7.5,7.5,7.5,"Russian"
21013492,7.4,8.25,10,NA,NA,NA,7.75,9,9.25,"Russian"
21013528,3.2,5,8.2,NA,NA,NA,4.75,6.5,7.25,"Russian"
21013788,7.6,8.75,9.8,NA,NA,NA,8.5,8,9.5,"Russian"
23000018,8.4,6.75,6.2,NA,NA,NA,4.75,8,6.75,"Russian"
23000064,8.4,8.75,8.6,NA,NA,NA,8.25,7.75,8.75,"Russian"
23000083,8.4,8.5,9.8,NA,NA,NA,8.25,8.75,9.5,"Russian"
23000103,7.2,7.5,7,NA,NA,NA,6.75,7.25,7,"Russian"
23000123,8.8,8.75,7.2,NA,NA,NA,6.25,7.25,8.25,"Russian"
23000181,8.4,5.75,7.8,8.75,8.5,8,NA,NA,NA,"Russian"
23000190,8.2,8.5,7.4,8,7.5,6.25,NA,NA,NA,"Russian"
23000204,7,8.25,6.4,NA,NA,NA,7.25,8,8.5,"Russian"
23000207,8.8,6.25,6.4,3.25,6.25,6,NA,NA,NA,"Russian"
23000214,8.2,8.25,8,NA,NA,NA,7.25,8.5,8.75,"Russian"
23000259,8,8.25,5.6,NA,NA,NA,7.5,7.5,8,"Russian"
23000305,7.4,8.5,5.6,NA,NA,NA,7.25,8.25,9.25,"Russian"
23000338,7,8.5,9.2,NA,NA,NA,7,7.75,9,"Russian"
23000458,8.2,8.75,5.4,7.5,8,6.75,NA,NA,NA,"Russian"
23000460,8,8.25,8,NA,NA,NA,7.5,8.5,9,"Russian"
23000516,8,8.5,7.6,NA,NA,NA,6.5,9,9,"Russian"
23000548,8.2,8,8.8,NA,NA,NA,7.5,8.75,9.25,"Russian"
23000563,8.2,7.5,6.6,7,8,5.75,NA,NA,NA,"Russian"
24000036,7.8,9,9.4,NA,NA,NA,8.5,8.25,9.25,"Russian"
24000123,8.4,9,9.8,NA,NA,NA,8.25,8.75,9.5,"Russian"
24000154,7.2,8.75,8.2,NA,NA,NA,8.25,8.25,8.25,"Russian"
24000247,7.6,9.25,8.2,NA,NA,NA,7.5,8.5,9.5,"Russian"
24000353,8.6,9.5,10,NA,NA,NA,8.25,8,8.75,"Russian"
25000005,6.6,9,6.4,NA,NA,NA,7.25,8.25,9.5,"Russian"
25000019,8.2,9,7.8,NA,NA,NA,6.5,8.5,8.25,"Russian"
25000037,4.8,8.25,7.8,NA,NA,NA,6.75,8.5,9.5,"Russian"
25000084,7,9.5,6,NA,NA,NA,8,8.5,8.5,"Russian"
25000101,8.2,9.25,8.6,NA,NA,NA,9.25,9.25,8.25,"Russian"
25000116,7.8,8.25,6.4,NA,NA,NA,8,8,9.25,"Russian"
25000151,8,8.5,8.6,NA,NA,NA,7.75,7.5,8.75,"Russian"
25000214,8.4,9.25,9.6,NA,NA,NA,9.5,9.5,9.5,"Russian"
25000306,8.4,7.75,6.4,8.25,8.25,6,NA,NA,NA,"Russian"
25000331,7.8,9.25,8.8,NA,NA,NA,6.75,9.25,9,"Russian"
25000365,8,7.5,8.6,NA,NA,NA,6.5,7.75,9,"Russian"
25000393,7.8,8.5,5,NA,NA,NA,5,6.5,7.5,"Russian"
25000401,6.8,8.75,9.4,NA,NA,NA,8,7.25,8.75,"Russian"
25000415,7.4,9,6.4,NA,NA,NA,7.25,8.5,8.25,"Russian"
25000455,7.6,8.75,9,NA,NA,NA,8,9,9.5,"Russian"
25000510,8.6,9.5,9,NA,NA,NA,7.75,9.5,10,"Russian"
25000601,8,9.25,7,NA,NA,NA,6.25,7.25,8,"Russian"
25000613,7.8,8.25,8.4,NA,NA,NA,6.25,6.5,9,"Russian"
25000642,7.6,8.75,9.6,NA,NA,NA,7.75,8.5,9.25,"Russian"
25000698,6.6,8.5,9,NA,NA,NA,7.5,8.25,8.25,"Russian"
26008640,7.6,4.25,9.6,5.25,4.5,6.25,NA,NA,NA,"Russian"
